VARIABLE	TYPE	DEFINITION	ROLE	ANONYMIZED
BLOCKID	character	ID of the operational unit	context	recode
Pixel_ID	integer	ID of the pixel	context	recode
MACHINE_1	character	ID of the harvester	context	remove
PropVol_fir_7u	numeric	proportion of volume: fir <8ft length	Y	Zscore
PropVol_fir_8p	numeric	proportion of volume: fir >8ft length	Y	Zscore
PropVol_fir_9p	numeric	proportion of volume: fir >9ft length	Y	Zscore
PropVol_fir_10p	numeric	proportion of volume: fir >10ft length	Y	Zscore
PropVol_fir_12p	numeric	proportion of volume: fir >12ft length	Y	Zscore
PropVol_fir_16p	numeric	proportion of volume: fir >16ft length	Y	Zscore
PropVol_har_7u	numeric	proportion of volume: hardwood <8ft length	Y	Zscore
PropVol_har_8p	numeric	proportion of volume: hardwood >8ft length	Y	Zscore
PropVol_har_9p	numeric	proportion of volume: hardwood >9ft length	Y	Zscore
PropVol_har_10p	numeric	proportion of volume: hardwood >10ft length	Y	Zscore
PropVol_har_12p	numeric	proportion of volume: hardwood >12ft length	Y	Zscore
PropVol_har_16p	numeric	proportion of volume: hardwood >16ft length	Y	Zscore
PropVol_sof_7u	numeric	proportion of volume: softwood <8ft length	Y	Zscore
PropVol_sof_8p	numeric	proportion of volume: softwood >8ft length	Y	Zscore
PropVol_sof_9p	numeric	proportion of volume: softwood >9ft length	Y	Zscore
PropVol_sof_10p	numeric	proportion of volume: softwood >10ft length	Y	Zscore
PropVol_sof_12p	numeric	proportion of volume: softwood >12ft length	Y	Zscore
PropVol_sof_16p	numeric	proportion of volume: softwood >16ft length	Y	Zscore
total_vol_ha	numeric	Total volume	Y	Zscore
PropN_fir_7u	numeric	proportion of stem number: fir <8ft length	Y	Zscore
PropN_fir_8p	numeric	proportion of stem number: fir >8ft length	Y	Zscore
PropN_fir_9p	numeric	proportion of stem number: fir >9ft length	Y	Zscore
PropN_fir_10p	numeric	proportion of stem number: fir >10ft length	Y	Zscore
PropN_fir_12p	numeric	proportion of stem number: fir >12ft length	Y	Zscore
PropN_fir_16p	numeric	proportion of stem number: fir >16ft length	Y	Zscore
PropN_har_7u	numeric	proportion of stem number: hardwood <8ft length	Y	Zscore
PropN_har_8p	numeric	proportion of stem number: hardwood >8ft length	Y	Zscore
PropN_har_9p	numeric	proportion of stem number: hardwood >9ft length	Y	Zscore
PropN_har_10p	numeric	proportion of stem number: hardwood >10ft length	Y	Zscore
PropN_har_12p	numeric	proportion of stem number: hardwood >12ft length	Y	Zscore
PropN_har_16p	numeric	proportion of stem number: hardwood >16ft length	Y	Zscore
PropN_sof_7u	numeric	proportion of stem number: softwood <8ft length	Y	Zscore
PropN_sof_8p	numeric	proportion of stem number: softwood >8ft length	Y	Zscore
PropN_sof_9p	numeric	proportion of stem number: softwood >9ft length	Y	Zscore
PropN_sof_10p	numeric	proportion of stem number: softwood >10ft length	Y	Zscore
PropN_sof_12p	numeric	proportion of stem number: softwood >12ft length	Y	Zscore
PropN_sof_16p	numeric	proportion of stem number: softwood >16ft length	Y	Zscore
total_n_ha	numeric	Total number of stems	Y	Zscore
P_size_mn	numeric	Mean log diameter	Y	Zscore
p_size_sd	numeric	Standard deviation of log diameter	Y	Zscore
p_size_med	numeric	Median log diameter	Y	Zscore
dayl	numeric	Duration of the daylight period. Based on the period of the day during which the sun is above a hypothetical flat horizon.	X	
deg_jours	numeric	Degree-days, average yearly sum of daily mean temperature	X	
deg_jours_0	numeric	Degree-days above 0, average yearly sum of daily mean temperature over 0 celcius	X	
deg_jours_5	numeric	Degree-days above 5, average yearly sum of daily mean temperature over 5 celcius	X	
deg_jours_uti	numeric	Degree-days during growing season, average yearly sum of daily mean temperature over the growing season	X	
precip	numeric	mean yearly precipitations	X	
precip_uti	numeric	mean yearly precipitations during growing season	X	
srad	numeric	Incident shortwave radiation flux density, taken as an average over the daylight period of the day.	X	
srad_uti	numeric	Incident shortwave radiation flux density during growing season	X	
tmax	numeric	max daily temperature	X	
tmean	numeric	mean daily temperature	X	
tmean_uti	numeric	mean daily temperature during growing season	X	
tmin	numeric	min daily temperature	X	
ecoregion	character	Ecoregion	X	
FST.x	integer	Forest stand type (Productive Forest land with no or minimal (occupies <30% of the stand area) unmerchantable component, Productive Forest land with both merchantable and unmerchantable stand components or Productive forest land with no or minimal (<35m3/ha) merchantable stand component)	X	
ORIGIN.x	character	Origin of stand (Burn, Clear cut, Field, Natural Succession, Windthrow)	X	
TRT	character	Latest silviculture treatment (Clear-cut, Plantation Cleaning, Partial cut, Full Plantation, etc.)	X	
TRTYR	integer	Presence of silviculture treatment in last 40 years	X	
RF	character	Reforestation treatment	X	
RFYR	integer	Presence of reforestation treatment in last 40 years	X	
SI	character	Stand Improvement treatment (PCT or Plantation cleaning)	X	
SIYR	integer	Year of Stand Improvement treatment	X	
LPRIORITY	integer	Dominant layer (1 or 2)	X	
FO_sp_birch	integer	Proportion of birch sp in the dominant canopy layer (photointerpreted)	X	
FO_sp_fir	integer	Proportion of fir sp in the dominant canopy layer (photointerpreted)	X	
FO_sp_pine	integer	Proportion of pine sp in the dominant canopy layer (photointerpreted)	X	
FO_sp_mix_HWD	integer	Proportion of  tolerant hardwoods in the dominant canopy layer (photointerpreted)	X	
FO_sp_swf	integer	Proportion of softwoods in the dominant canopy layer (photointerpreted)	X	
FO_sp_intolerant_hwd	integer	Proportion of intolerant hardwoods in the dominant canopy layer (photointerpreted)	X	
MEAN_WTD	numeric	Depth-to-water index	X	
SOIL	character	Soil class	X	
DRAIN	integer	Drainage class	X	
SLOPE	character	Slope Detailed	X	
ASPECT	integer	Aspect class	X	
WK_AGE	integer	Woodstock Age	X	
TOBA9	numeric	Total basal area for dbh>9cm	X	
QMD9	numeric	Quadratic Mean Diameter for dbh>9cm	X	
QMD3	numeric	Quadratic Mean Diameter for dbh>3cm	X	
TOBA3	numeric	Total basal area for dbh>3cm	X	
HtTop	numeric	Top height	X	
Year_Captu	integer	Year of Lidar capture	X	
stl_may_ARI1	numeric	Anthocyanin Reflectance Index 1 in May	X	
stl_may_ARI2	numeric	Anthocyanin Reflectance Index 2 in May	X	
stl_may_B11	numeric	Mean of detrended (stl) seasonal component in May in B11	X	
stl_may_B12	numeric	Mean of detrended (stl) seasonal component in May in B12	X	
stl_may_B2	numeric	Mean of detrended (stl) seasonal component in May in B2	X	
stl_may_B3	numeric	Mean of detrended (stl) seasonal component in May in B3	X	
stl_may_B4	numeric	Mean of detrended (stl) seasonal component in May in B4	X	
stl_may_B5	numeric	Mean of detrended (stl) seasonal component in May in B5	X	
stl_may_B6	numeric	Mean of detrended (stl) seasonal component in May in B6	X	
stl_may_B7	numeric	Mean of detrended (stl) seasonal component in May in B7	X	
stl_may_B8	numeric	Mean of detrended (stl) seasonal component in May in B8	X	
stl_may_CRI1	numeric	Carotenoid Reflectance Index 1 in May	X	
stl_may_CRI2	numeric	Carotenoid Reflectance Index 2 in May	X	
stl_may_EVI	numeric	Enhanced Vegetation Index in May	X	
stl_may_NDGI	numeric	Normalized Difference Greenness Index in May	X	
stl_may_NDII	numeric	Normalized Difference Infrared Index in May	X	
stl_may_NDVI	numeric	Normalised Difference Vegetation Index in May	X	
stl_may_greeness	numeric	Tasseled Cap Greenness index in May	X	
stl_july_ARI1	numeric	Anthocyanin Reflectance Index 1 in July	X	
stl_july_ARI2	numeric	Anthocyanin Reflectance Index 2 in July	X	
stl_july_B11	numeric	Mean of detrended (stl) seasonal component in July in B11	X	
stl_july_B12	numeric	Mean of detrended (stl) seasonal component in July in B12	X	
stl_july_B2	numeric	Mean of detrended (stl) seasonal component in July in B2	X	
stl_july_B3	numeric	Mean of detrended (stl) seasonal component in July in B3	X	
stl_july_B4	numeric	Mean of detrended (stl) seasonal component in July in B4	X	
stl_july_B5	numeric	Mean of detrended (stl) seasonal component in July in B5	X	
stl_july_B6	numeric	Mean of detrended (stl) seasonal component in July in B6	X	
stl_july_B7	numeric	Mean of detrended (stl) seasonal component in July in B7	X	
stl_july_B8	numeric	Mean of detrended (stl) seasonal component in July in B8	X	
stl_july_CRI1	numeric	Carotenoid Reflectance Index 1 in July	X	
stl_july_CRI2	numeric	Carotenoid Reflectance Index 2 in July	X	
stl_july_EVI	numeric	Enhanced Vegetation Index in July	X	
stl_july_NDGI	numeric	Normalized Difference Greenness Index in July	X	
stl_july_NDII	numeric	Normalized Difference Infrared Index in July	X	
stl_july_NDVI	numeric	Normalised Difference Vegetation Index in July	X	
stl_july_greeness	numeric	Tasseled Cap Greenness index in July	X	
stl_october_ARI1	numeric	Anthocyanin Reflectance Index 1 in October	X	
stl_october_ARI2	numeric	Anthocyanin Reflectance Index 2 in October	X	
stl_october_B11	numeric	Mean of detrended (stl) seasonal component in October in B11	X	
stl_october_B12	numeric	Mean of detrended (stl) seasonal component in October in B12	X	
stl_october_B2	numeric	Mean of detrended (stl) seasonal component in October in B2	X	
stl_october_B3	numeric	Mean of detrended (stl) seasonal component in October in B3	X	
stl_october_B4	numeric	Mean of detrended (stl) seasonal component in October in B4	X	
stl_october_B5	numeric	Mean of detrended (stl) seasonal component in October in B5	X	
stl_october_B6	numeric	Mean of detrended (stl) seasonal component in October in B6	X	
stl_october_B7	numeric	Mean of detrended (stl) seasonal component in October in B7	X	
stl_october_B8	numeric	Mean of detrended (stl) seasonal component in October in B8	X	
stl_october_CRI1	numeric	Carotenoid Reflectance Index 1 in October	X	
stl_october_CRI2	numeric	Carotenoid Reflectance Index 2 in October	X	
stl_october_EVI	numeric	Enhanced Vegetation Index in october	X	
stl_october_NDGI	numeric	Normalized Difference Greenness Index in October	X	
stl_october_NDII	numeric	Normalized Difference Infrared Index in October	X	
stl_october_NDVI	numeric	Normalised Difference Vegetation Index in October	X	
stl_october_greeness	numeric	Tasseled Cap Greenness index in October	X	
stl_amp_ARI1	numeric	Maximum amplitude in ARI1	X	
stl_amp_ARI2	numeric	Maximum amplitude in ARI2	X	
stl_amp_B11	numeric	Maximum amplitude in B11	X	
stl_amp_B12	numeric	Maximum amplitude in B12	X	
stl_amp_B2	numeric	Maximum amplitude in B2	X	
stl_amp_B3	numeric	Maximum amplitude in B3	X	
stl_amp_B4	numeric	Maximum amplitude in B4	X	
stl_amp_B5	numeric	Maximum amplitude in B5	X	
stl_amp_B6	numeric	Maximum amplitude in B6	X	
stl_amp_B7	numeric	Maximum amplitude in B7	X	
stl_amp_B8	numeric	Maximum amplitude in B8	X	
stl_amp_CRI1	numeric	Maximum amplitude in Carotenoid Reflectance Index 1	X	
stl_amp_CRI2	numeric	Maximum amplitude in Carotenoid Reflectance Index 1	X	
stl_amp_EVI	numeric	Maximum amplitude in Enhanced Vegetation Index	X	
stl_amp_NDGI	numeric	Maximum amplitude in Normalized Difference Greenness Index	X	
stl_amp_NDII	numeric	Maximum amplitude in Normalized Difference Infrared Index	X	
stl_amp_NDVI	numeric	Maximum amplitude in Normalised Difference Vegetation Index	X	
stl_amp_greeness	numeric	Maximum Amplitude in Tasseled Cap Greenness index	X	
ABTYPE	character	Stand treatment history	context	
PRESCRIPTION	integer	Prescription Code	context	
BLOCKTYPE	character	Last treatment type	context	
